homeId,awayId,homeScore,awayScore,matchResults,matchAction,gameStartTime
1,56,80,90,LOSS,GAME SUMMARY,2022-07-21T19:00:00.000+00:00
1,877,76,72,WIN,GAME SUMMARY,2022-07-21T03:00:00.000+00:00
943,1,80,75,LOSS,GAME SUMMARY,2022-07-20T19:00:00.000+00:00
1285,1,76,60,LOSS,GAME SUMMARY,2022-07-20T03:00:00.000+00:00
1933,1,57,53,LOSS,GAME SUMMARY,2022-07-19T19:00:00.000+00:00
1517,1,97,89,LOSS,GAME SUMMARY,2022-07-19T03:00:00.000+00:00
1,1668,86,62,WIN,GAME SUMMARY,2022-07-18T19:00:00.000+00:00
1176,1,71,53,LOSS,GAME SUMMARY,2022-07-17T17:00:00.000+00:00
505,1,66,80,WIN,GAME SUMMARY,2022-07-16T19:00:00.000+00:00
1923,1,79,83,WIN,GAME SUMMARY,2022-07-16T17:00:00.000+00:00
1,1803,77,69,WIN,GAME SUMMARY,2022-07-16T03:00:00.000+00:00
1,980,73,78,LOSS,GAME SUMMARY,2022-07-15T19:00:00.000+00:00
1,186,67,60,WIN,GAME SUMMARY,2022-07-15T03:00:00.000+00:00
1486,1,70,78,WIN,GAME SUMMARY,2022-07-14T19:00:00.000+00:00
1176,1,65,58,LOSS,GAME SUMMARY,2022-07-14T03:00:00.000+00:00
505,1,68,76,WIN,GAME SUMMARY,2022-07-13T19:00:00.000+00:00
1923,1,74,83,WIN,GAME SUMMARY,2022-07-13T03:00:00.000+00:00
1,1803,76,62,WIN,GAME SUMMARY,2022-07-12T19:00:00.000+00:00
1,980,75,63,WIN,GAME SUMMARY,2022-07-12T03:00:00.000+00:00
1,186,69,68,WIN,GAME SUMMARY,2022-07-11T19:00:00.000+00:00
1,1530,78,81,LOSS,GAME SUMMARY,2022-07-10T17:00:00.000+00:00
1,1782,66,56,WIN,GAME SUMMARY,2022-07-09T17:00:00.000+00:00
1,1536,71,78,LOSS,GAME SUMMARY,2022-07-09T03:00:00.000+00:00
