teamName,id
01Rekt,518
01 Upset Squad,1384
02Rekt,1188
03Rekt,1187
04Rekt,1191
05Rekt,1192
06Rekt,1193
07Rekt,1194
08Rekt,1195
09Rekt,1197
0x0x0x,2384
0xfund,1981
0xGeekRunner,1116
0xK137,1322
10Rekt,1198
10X Salt Lumps,627
11Rekt,1199
12Rekt,1201
13Rekt,1202
14K Ballers,770
14Rekt,1203
15Rekt,1204
16Rekt,1205
17Rekt,1206
18Rekt,1207
19Rekt,1208
20Rekt,1209
21Rekt,2241
22Rekt,2242
23Rekt,2244
24Rekt,2245
25Rekt,2246
26Rekt,2248
27Rekt,2249
28Rekt,2252
29Rekt,2251
305 Legends,235
30Rekt,2253
31Rekt,2254
32Rekt,2255
33Rekt,2256
34Rekt,2257
35Rekt,2258
36Rekt,2259
37Rekt,2260
38Rekt,2261
39Rekta,2262
3DGG,2358
3 is greater than 2,1549
40Rekt,2263
41Rekt,2264
420 Swisher,215
42Rekt,2313
43Rekt,2314
44Rekt,2315
45Rekt,2316
46Rekt,2321
47Rekt,2317
48Rekt,2318
49Rekt,2319
5000e12,121
50Rekt,2320
57,1398
66ers,2360
7 AM Orange Crush,1099
84000,2238
aaa,1305
Abouribs FC,757
AB Stars,1813
Abyssinia,1347
Admirable Lions,1733
ADV,411
AFC Richmond,111
Africa Athletic,1732
Afro United,346
After School Misfits,1499
AFUEGO,1426
ahp,1399
Akatsuki,439
Albinea Clippers,2237
alblooshi,1967
ALF Aardvarks,1100
ALF DirkNashty Donkeys,33
ALF Dumptruck Duty,1152
ALF Pasco Bulldogs,1089
ALF SOL Asylum,71
ALPHA PANDA,1758
ALPHA RADAR,383
alwii,808
Alz,2247
AMAR01,310
AMAR02,1189
AMAR03,1200
AMAR04,1210
AMAR05,1212
AMAR06,1269
AMAR07,1270
AMAR08,1837
AMAR09,1838
AMAR10,1841
AMAR11,1842
Amatuer Mars,1142
Ancient Alienz,2112
Angry Snacks,403
AnimalStyle,654
an nol,2325
Antipolo Nuts,241
Antipolo Nuts 2,1588
Ape Gaming,2020
ApoGee Academy,752
Arsenal,1237
asakoty,1722
asapuri,149
ASTER BALLERS,979
Astoneer,1082
atayen,1618
ATeam,1957
A TEAM,728
atom guin,1799
Aussie Airballers,616
axataxa,1255
B,1329
Baboon,236
Backyard Mars,118
Bad Goat,45
bajiao,1360
Baleen,727
Ballers,77
Ballerz,515
Ball Handler,1178
Ball Sol Hard University,230
bama beatdown,592
Banana,1217
Bantug Ogags,1714
Baron,1219
Barracuda34,893
BA Stampede,657
Bat,1711
Batasan Hills SKET,1834
BB Backyard Ballers,1960
BB Ballers,1668
BB Family Ballers,1817
BBS Airwolves,1081
BBS Bobcats,1075
BBS Bucks,1899
BBS Cadians,2239
BBS Coco,1958
BBS Diabetics,1728
BBS DP,2393
BBS Fireballs,2266
BBS Foxes,1058
BBS Headbangers,1080
BBS Landwhales,1970
BBSM,1048
BBS Mouthbreathers,2265
BBS Movement,2349
BBS Mustangs,2231
BBS Rainbirds,1079
BBS StreetLegends,2354
BBS Wargods,1919
BBS Warriors,1959
BDP MOB,1952
Beach Boys,545
Bear Market Ballers,1888
Bears Destroyers,128
BEES,214
Beijing Dragonz,1812
Belflou Red Bears,90
Belflou Red Bears 2,1689
BenchOdds,2375
Benny Franks,2382
Bhibago Bulls,1456
Big Ball Gang,1214
BigEason,386
BigNFTdude,1157
Big Paws,1551
BirdDog,1856
BITMETIS,1766
Bitouq ventures,1601
Black Pearl Ballers,986
Blazing Stars,1017
BldSwtTrs,835
Blockchain Baller Brand,1091
Block Plan,423
bluddies,1326
blue marines,996
Blue Pilots,372
blue shiba,429
Blumbergers,2377
bobby,2362
Bobster,2175
Bombers,2040
Bonzo,1680
BookDaGoat,1002
Boom,228
Boom Too,1751
Boom Tres,1753
Boryoku Ballerz,243
Boston Penises,1737
Bounced,1663
BoyncTeam,390
BP,1637
Bread Cats,525
Brickell Bay Ballers A,541
Brickell Bay Ballers B,1165
Brickell Bay Ballers C,1171
Brickell Bay Ballers D,1490
Brickell Bay Ballers V,1492
Brooklyn Ballers,1133
Btown 3 Sword Style,1884
BTown Apes,1807
BTown Bears,1716
BTown Bison,1246
BTown Bulls,1778
Btown Devil Fruit,1885
BTown Dogs,1765
BTown Dragons,1806
BTown Goats,1717
Btown Going Merry,1883
Btown Little Cape,1966
BTown Moonshots,1623
BTown Panthers,1465
BTown Stars,1568
BTown Straw Hats,1455
BTown Unicorns,1720
BTown Whales,1718
Buckets Team,265
BULAS,872
BULLETS,1562
burner,1839
C2T,1177
Calamity Jammers,104
CALM FORCE,1667
Captains,1552
Cap the hotpot,1964
Capybara,1185
CATO,1413
Cat Pack Developmental,1982
Cat Pack Dynasty,181
CatW,2387
cbb,1344
CB Tizona Burgos,120
Cecham,165
Celtic,487
Celtx,87
Celtx B,1331
Celtx C,1644
CEMTOWN BASKETS,1450
Cets On Court,983
Cets on Creck,2357
CFS Griffins,1739
Chacals,1221
champagne chandeliers,544
chaoren,227
Cheese,1276
Chicago Aces,1436
Chicago bulls,2168
Chicago Cougars,1830
Chicago GOATs,913
Chios Giants,2240
Chokers,2111
Chungles,1657
Circa,1093
circus bazooka,605
closefam,401
CLOVE,622
Clown of frustration,44
Clutch Kings,945
Coban,1661
cocamoto,1272
CocoBana,769
Cocopeach,926
Code Monkeys,998
Coke Butter Chz,1782
Cold Creator,1052
Collectorz Club,1259
Comet,1106
Core4CT,392
County Mars,2359
Cowbell Kingdom,92
Crafters,186
Cravens Park,1608
Cream City Cosmos,2225
Crowded Crooks,968
Crumpet,62
Cryptids,1675
Crypto Ballers,318
CryptoBraggs,1362
Crypto Clowns,357
Crypto Cows,1814
CryptoFabLab,455
Cryptogod,1186
Crypto Lakers,1107
CryptoNoob,1696
Crypto Whales,2271
CSP,1826
CTBallers,1275
Cypro2022,122
DaBadGuys,207
dadada,398
Da Family,2273
DANDAY,1796
Danger 5,1596
darkblue2,1291
darkblue3,2328
darkblueteam,1292
Dawgs,2173
Day Dream,1824
DC,1258
dd,1681
DDDDDDDDDD,1065
DeanK,415
DeepWeb3s,453
deeznutz,1266
DegenDace,1261
Degenerates,1435
degen f,1374
DeKiller 3s,557
deleted,1095
derekedws,849
Detlef Shrimps,715
Detroit Blue Chips,852
Detroit Degenz,1633
Detroit Double Dribblers,1853
Diego M,233
DirtyLemonGang,1704
DMoney,117
dnap suns,1071
DNAP valleyboyz,1898
Dodsters,1281
Doge Gaming,290
Dogi110394,1518
DONCIC ALL STAR,1631
Don Nelson,213
Doshers,193
Double Dribblers,1350
Down Bad Degens,2383
Dragons,1141
Dreamers,1443
Dream Team,23
Drizzy Dunkers,432
Drogbazooka,625
Drunk Vipers,1529
Dub7,40
Dubai Rangers,1734
Dublin Down,1648
Dubs,195
Dubs Dubs,555
Dub Takers,1391
dubyajay,1650
ducciomanetti,2119
Dunder Miflin,2270
Dutch Giants,1768
Dutch Lions,469
Ebakers,1373
Eden Ikar,1788
Edge Academy,106
EE,1314
eg00rcs01,1420
eg00rcs02,1616
eg00rcs03,1617
eg00rcs04,1619
EGO ALLSTARS,1112
Elenoi,1020
Elite Nibbaz,382
Enemy,191
Energicos Dre,735
En Fuego,598
enterprisesuper,1369
ERROR101,1569
ERW,200
Excavacions Calabuig,943
extra player pool,993
f1racecar,342
FaFa,105
FaFaII,1196
FaFaIII,1404
FaFaIV,1406
FaFaIX,1441
FaFaV,1408
FaFaVI,1411
FaFaVII,1437
FaFaVIII,1438
FaFaX,1442
FaFaXI,1444
FaFaXII,1445
FATRUI,1252
FC SOL,1332
FENERBAHCE,103
fengk,579
FFB Laquer,1846
Fiji Whales,1978
FiLA,325
FIWB Academy,1624
Flamingos,568
floweis,1497
Fluffy Samosas,530
Flying Steps,445
Folsom Fury,1143
Fomo Bulls,907
Food Nerds,30
Forest Wolves,626
Formaks Thunder,147
Francis23,1664
French Bulls JT,726
French Storm Riviera,1493
FreshCut Goons,324
FromZeroToHero,1454
fsfsfsfsf,1621
fuccckyouijik,317
FUDDYBUDDY,137
Funbari Kaizoku,1794
Funny Flunckers,1556
Funstuff Dreamers,2108
Funstuff Mambas,1097
Funstuff Smoothies,54
Furious Glory,220
Furious Unicorns,1394
Fury Monkeys,1651
Fyx,327
Galaxy Wanderer,1658
GameFi Drops,1414
GazBaz,970
GC Dream Team,37
GeekPeek,2371
Geeks in Sneaks,41
GELOPHYIE,2014
Georgian Degens,912
GetTrumped,1183
GG,1138
GGG34,1355
Ginger Rockets,1611
GL Bike Ride,2274
GL Bollywood Dance,2272
GL Breezy Hill,2278
Gliding River,1557
GL Orange Otto,838
GL Philly Cheesesteak,1927
GL Rice N Potatoes,2275
Gobilam,1151
Goblin Gang,953
godspeeduck,1370
Golden goose,126
Golden Gooser,1357
Golden Rekt Warriors,1032
Golden State Pooriers,170
Golden State Warriors,744
Golden Unicorns,798
Go Monstars,217
GoodBoi,1180
GoodGameWellPlayed,306
Gooners,2376
Goons club,1296
Goon Squad,254
Goon Squad 2,1459
Goon Squad 3,1478
Goon Squad 4,1479
Goon Squad 5,1480
Goon Squad 6,1486
Goon Squad 7,1487
Gorilla Dunkers,1665
GORILLAS,418
Gotham Jokers,348
Grackles,1646
Grape Gaming,1547
Great Lakes Blizzards,1776
Great Lakes Hurricanes,1316
Great Lakes Lightning,31
Great Lakes Lunkers,1792
Great Lakes Thunder,1094
Green Hair Invasion,1451
Green Rockets,370
Gregorys Team,84
Grit Gang,886
groope mojo,1172
groope mojo freshman,1698
groope mojo jv,1710
Haggard Hawk Hoopers,851
hagi,2327
HaHaRi,1051
HANA,1791
Hao,1894
Happy Hiney,1285
Hardwood Heathens,476
Heart and Hustle,1777
Hearth and Salamander,253
Heat Culture,47
HERB 1,378
HERB 10,1744
HERB 11,1745
HERB 12,1746
HERB 13,1747
HERB 2,1148
HERB 3,1159
HERB 4,1160
HERB 5,1161
HERB 6,1162
HERB 7,1169
HERB 8,1170
HERB 9,1743
Hercules,2378
Hidepiyochan,124
Highlanders1,596
Highlanders 10,1403
Highlanders11,1407
Highlanders2,1179
Highlanders3,1335
Highlanders4,1342
Highlanders5,1343
Highlanders6,1379
Highlanders7,1396
Highlanders 8,1400
Highlanders 9,1402
Highsociety Tykes,493
Hinkie Disciples,1294
Hiro,108
Hokage,38
Holderwolves,2379
Holy City Hooligans,1223
Holy Knights,159
Hoodlums,1225
Hook and Rollins Group,82
Hoopers Three,2095
Hoopers Two,35
Hot Jot Bots,2395
Hound Dawgs,1715
House Mavericks,1462
House of Hemlock,1649
Houston Horses,995
hrodchimp,1963
HS,189
Hunters,2203
HyperSonics,110
Hype Squaw,322
ID2 Support  Team,380
IE Ridge Raptors,1084
Ihype unicorns,1707
Ikareden,407
immortai,1705
IMMORTALS,1238
Indiana Legends,1690
Inveterate Scoundrels,941
invisibilitycloak,140
ioplosui,461
iron gate,1756
Ishvatars,1433
Istanbul Bulls,133
iverson,470
J,1719
Jaecrik,367
Jae Rockets,1283
Jam,97
JAPES,163
JAPES 2,2267
JAPES 3,2276
Jcrypto,922
JDef,2222
JDub7,1855
Jersey Devils,25
Jinxers,2348
Jive Syndicates DAO,1785
jk44,520
JRod Jets,2228
JS,340
jsc,175
JuicyJ,916
juj66,1284
JV,2233
jwu test,7
kaji wrld,1852
Kakou Team  A,817
Kakou Team B,1795
Kakou Team C,2323
kamearikatushikammmmmmmmm,1706
kanan,264
kangsta,192
Kathmandu Jokers,99
KAWSLAND,1019
Kaza1717,409
kbean,1302
Kebab FC,101
Kepler Telescopes,538
kerryons massive johnson,2350
killa v,1330
Kim Dynasty,63
king,208
KK Akmene Cementas,1076
kkwk,1968
Klingenthal,919
Knights of Degen,1694
Known Ballerz,26
Known Hoopers Triple,1974
Known Hooperz Dub,1613
Kodiaks,768
Krause House,1625
Ksh333p,1300
Ksithu,1440
Kudasai,365
Kudasaiz,1786
Lam Racing,2223
Las Vegas Dynazty,877
Lazio de Rhum,1640
LebronsHairline,531
Leeward Drop Bears,2165
LenoWang,178
Les Stringboks,1660
Lets Forking Cook,1140
Levis Team,631
LFG League,1387
Lightning Jo,1545
Lightning Jo I,1548
Lightning Jo II,1574
Lightning Jo III,1576
Lightning Jo IIII,1577
Lightning Jo IIIII,1579
Lightning Jo IIIIII,1580
Lightning Jo IIIIIII,1581
Lightning Jo IIIIIIIII,1572
Lightning Joo,1584
Like Mike,1125
LilBullsDAO,1783
Lincoln Imps,1077
LiquidityCrisis,1135
Liquid Lakers,278
liusengseng,245
London Dragonz,1190
LoosersTeam,578
LosAngeles Heat,1176
Los Angeles Linsanities,1833
Los Angeles Liqueur,1641
Los Chulos,731
Los Gatos,2219
Los Hoopers,1104
Los Invencibles,1072
Los Pollos Hermanos,787
Los Pollos Sobrinos,1642
Luna Classic,1757
Lunarfall,276
LVGuild,2337
M,1851
Maddarkens,1382
Madrid Dragonz,48
Magic Abdul Jordan,1793
Magical Goated Ballerz,2311
magic pen,331
Majestics Awaiss,950
Makattack,1903
Manhattan MOOOs,2367
Manila Hoops,339
Man Jose,1460
Manu Samoa,1307
Mara Jade,1251
Marauders,1810
marke2,1371
markea,1158
market,334
market3,1372
martinkobrata,730
Matty Sol,1893
Maverick,1469
Mavericks,1280
MAXSOC,1309
Medusa,1973
Melbourne Mongeese,999
Melo7,1166
Meteor Jams,259
MIAMI MEAT,1306
Miller Time,36
MiningMiner,966
Mister Jay,1774
MK,1367
ml33,505
MO2k22,1956
MockingOtter,1506
Moloch,255
MonsieurDMA,2363
montana chads,1279
moocow,473
MoonBallers,1427
MoonDogs,1542
MoonShotters,222
Moorabbin Cunning Stunts,896
Morieres Zoo,1511
MorsersPixelWorld,1831
Moscow Dragonz,1748
moshenwudi,496
motoGA,363
Motown Solestars,263
Mrbing,1392
Muddgang,1701
Multiplanet,1448
Multiplanetary Ballers,1453
murad,1345
MVP,1299
mvp93,774
Mythical RARE,1555
Naculus,853
Nam,1153
NA NODDERS,18
Nashama,417
NATTOU,279
ND,1829
ND Heartbreakers,56
neko,352
nelsonwang,1410
Newark Panthers,1816
New Jersey Moons,1976
New Jersey Nets,202
New York Donkeys,1735
New York Menaces,2198
NFT for 3,2312
Night Racers,1429
Night Racers B,1983
nissin,1937
nobz,517
NoCap,1481
No Longer a team sadly,1476
Nomadbeavers,308
No Press,171
Nora Titzoff,1634
NorthBulls,1643
Nothing But Net,942
NotMySecondTeam,1984
NottheWinners,17
nudity,1346
number1BR,1226
NVBA,590
Nzas Boys,1129
oclgbsbnasf,81
Off Brand All Stars,1693
Off Meta,388
